term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
need,0.005288245826083522,-0.09024321805014053,-0.0029591250635762154,-0.03614099812157907,-0.013606093726062361,0.0113284879008586,0.004272229592836657,0.004827321558105613,0.009161202057455409,0.014871721728862974,0.03247822036725126,0.008509590550182147,-0.002509013596018156,-0.029601560390293817,-0.02310806262089045,0.023444530712659686,-0.02337659077878808,0.03029417768053187,0.009722029052220214,0.00856213846984602
ta,0.03871502591470998,-0.05818445371839265,0.059281090745116206,-0.010091548042944704,-0.0166467144119879,0.007115519842094462,-0.030996782282671807,-0.017930009686087878,0.012374570245741567,-0.0108234231931712,-0.0026431381836463236,0.04319597110880703,0.0039871544379843915,-0.008357393058672875,0.025749254181440653,0.03680093511667289,-0.040554117247711796,0.023923830862571167,-0.028045614757380023,-0.02860294240172609
time,0.0625756945814353,-0.07224393966209815,-0.0018849376490520482,-0.0009109153930320739,0.02088838689401803,0.007022855465291103,0.003939390938350516,0.009785496995951966,0.007090484678812681,-0.014161214033080932,0.01774756147092929,0.014948801043104101,0.01198629779678978,0.00125849460344701,0.012172407231573978,0.03296763090754298,0.0021199759107012606,-0.0036994516455880755,0.012931245115478773,-0.014576932620238403
been,0.027346989262812545,-0.10590808810125642,0.0227352028962328,0.053196625308104345,-0.0018837868606027192,-0.011723835481259857,-0.02068898520685912,-0.0011057862667861887,0.012314633830102117,-0.01722900357101198,0.0047428407577459475,0.030803453695878377,0.012369203344834462,-0.0006715717421440295,0.001072681797014613,0.056841181327648066,-0.020666748941841548,0.03836821289913809,0.01184458588270576,-0.051840975276444705
cause,0.07127420038736185,-0.0368072775305157,0.0339474425799551,-0.01751726005655932,0.019851560862352284,0.01614783808229041,0.010178658058080308,0.01429288776544203,0.008443851666136065,0.0006316989759204972,-0.003993175100141078,-0.021036374607360353,-0.002306302775171465,-0.00600125102549837,0.01720278808777309,0.013549311976886025,-0.022596774863583496,-0.022280492005878602,0.0029134351148831354,-0.02249471924582533
cant,0.02988120145557842,-0.06314520430036669,0.03170771466436056,0.0048753791578914065,-0.009976523984935816,-0.0010144648160090857,-0.011258549762873372,0.0054877138635556055,0.01716533033951509,-0.01043366709430077,0.014498928694642255,-0.008403276105022707,0.0005970044119659179,-0.011173225255117328,-0.014375879132482132,0.026141786028026692,-0.04397970896488976,-0.00812082859866766,-0.0006944489725953379,-0.019216778058654266
ima,-0.052377582361486104,-0.10277655057525723,0.11310071731263685,-0.010075983121637797,-0.03295466792174085,-0.01425622520520507,-0.029317548425594232,0.029046651184930893,0.0773649862269071,-0.044057911483410185,0.11192722674378386,0.02297241850340733,-0.06592076441699313,0.06245889367990507,-0.008423128238209648,0.02936031927588209,-0.036594957426990225,0.02109926441158229,-0.00899396553771617,-0.047644463480700276
feel,0.027114420122981073,-0.10013791587832853,-0.014705239588340031,0.0054390806332156455,0.011275414048894887,-0.0058582437033116415,-0.04138692034460329,-0.03915854263500265,0.011933166556086854,-0.002143392717418882,0.07625841669725522,0.047319842711577645,0.011569901339406441,-0.01489696381429519,0.0018825682587204629,0.043142008441709345,0.0146972579369411,-0.009425367237213197,0.0012891228149049527,0.002774142548457592
way,0.04397520835370432,-0.07253105972155956,0.009015548291867426,-0.010983005062775424,0.012745604840282436,0.013504333529876773,0.0018072750937446554,-0.004536529231049763,0.01098386812580859,-0.019796807972637664,0.006210398332740286,0.025086658985750104,0.002262899295149279,-0.018139389823776015,0.013315156506827408,0.04197445844509207,-0.019483024777741803,-0.0010909769097467974,-0.03217712227704903,-0.004950545822815927
aint,0.014252628475348226,-0.057926483493983924,0.08656758077565203,-0.0005011132226538097,-0.03427611505412814,0.006443875988129023,-0.0027058100804664164,0.002403275815208851,0.006992465808448374,-0.008072803488999641,-0.00693844505106031,0.002391963626162799,-0.011442264928457999,-0.0024564766876789407,-0.01929027607581482,-0.0028799648857466,-0.0422183314981682,0.018228812894909942,-0.006278308187023601,-0.03556428075519616
