Artist,source_file_path,num_songs,Artist ID,Website,Hometown,State,Year
Biz Markie,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_BizMarkie.json,85,26362,https://genius.com/artists/Biz-markie,"Harlem, NY",NY,1993
Bone Thugs-N-Harmony,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_BoneThugsNHarmony.json,237,64,https://genius.com/artists/Bone-thugs-n-harmony,"Cleveland, OH",OH,2002
Boogie Down Productions,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_BoogieDownProductions.json,89,815,https://genius.com/artists/Boogie-down-productions,"South Bronx, NY",NY,1990
Busta Rhymes,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_BustaRhymes.json,388,338,https://genius.com/artists/Busta-rhymes,"Brooklyn, NY",NY,2002
Cardi B,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_CardiB.json,86,621678,https://genius.com/artists/Cardi-b,"The Bronx, NY",NY,2017
Chance the Rapper,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_ChancetheRapper.json,194,16751,https://genius.com/artists/Chance-the-rapper,"Chicago, IL",IL,2016
Chief Keef,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_ChiefKeef.json,500,16808,https://genius.com/artists/Chief-keef,"Chicago, IL",IL,2014
Common,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Common.json,253,223,https://genius.com/artists/Common,"Chicago, IL",IL,2007
Coolio,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Coolio.json,111,676,https://genius.com/artists/Coolio,"Compton, CA",CA,1995
Cordae,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Cordae.json,117,1469896,https://genius.com/artists/Cordae,"Suitland, MD",MD,2018
