term_str,n,tfidf,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
hype,6.86734693877551,0.000500706716235983,0.0,0.000500706716235983,0.0,0.0,0.0,0.0,0.0,0.0,-0.000500706716235983
hypocrite,1.736842105263158,0.0001599590253602806,0.0,0.0,0.0001599590253602806,0.0,0.0,0.0,0.0,0.0,-0.0001599590253602806
hypocritical,1.0,0.00011630956676315242,0.0,0.0,0.00011630956676315242,0.0,0.0,0.0,0.0,0.0,-0.00011630956676315242
hypothesis,1.0,0.0001525815916443407,0.0,0.0001525815916443407,0.0,0.0,0.0,0.0,0.0001525815916443407,0.0,0.0
hysteria,1.5416666666666667,0.00017311081671320239,0.0,0.0,0.0,0.00017311081671320239,0.0,0.0,0.0,0.0,-0.00017311081671320239
hysterical,1.7,0.00018798351621534105,0.00018798351621534105,0.0,0.0,0.00018798351621534105,0.0,0.0,0.0,0.0,-0.00018798351621534105
idiot,1.71875,0.00015167880752660974,0.0,0.0,0.00015167880752660974,0.0,0.0,0.0,0.0,0.0,-0.00015167880752660974
idiotic,1.5555555555555556,0.00018659728815260154,0.00018659728815260154,0.0,0.00018659728815260154,0.0,0.0,0.0,0.0,0.0,-0.00018659728815260154
idolatry,1.5,0.00013755709318225538,0.0,0.0,0.00013755709318225538,0.00013755709318225538,0.0,0.0,0.0,0.0,-0.00013755709318225538
ignorant,2.716417910447761,0.00018888973401698988,0.0,0.0,0.00018888973401698988,0.0,0.0,0.0,0.0,0.0,-0.00018888973401698988
ill,119.36206896551724,0.002085430558009582,0.002085430558009582,0.0,0.002085430558009582,0.002085430558009582,0.0,0.002085430558009582,0.0,0.0,-0.002085430558009582
illegal,3.442857142857143,0.00023880289889249482,0.00023880289889249482,0.0,0.00023880289889249482,0.00023880289889249482,0.0,0.00023880289889249482,0.0,0.0,-0.00023880289889249482
illegitimate,1.125,0.00011378153244327759,0.00011378153244327759,0.0,0.00011378153244327759,0.00011378153244327759,0.0,0.00011378153244327759,0.00011378153244327759,0.0,-0.00011378153244327759
illicit,1.0,0.00018951508674957176,0.00018951508674957176,0.0,0.00018951508674957176,0.00018951508674957176,0.0,0.0,0.0,0.0,-0.00018951508674957176
illiterate,1.1904761904761905,0.00012204442634257768,0.0,0.0,0.00012204442634257768,0.0,0.0,0.0,0.0,0.0,-0.00012204442634257768
illness,1.1,0.00013787353118954466,0.0,0.0,0.0,0.00013787353118954466,0.0,0.00013787353118954466,0.0,0.0,-0.00013787353118954466
illuminate,1.3888888888888888,0.00016099222881827845,0.0,0.00016099222881827845,0.0,0.0,0.00016099222881827845,0.0,0.00016099222881827845,0.0,0.00016099222881827845
illumination,1.0,0.00025636099568072766,0.0,0.0,0.0,0.0,0.00025636099568072766,0.0,0.00025636099568072766,0.00025636099568072766,0.00025636099568072766
illusion,2.176470588235294,0.00024006140809890272,0.0,0.0,0.0,0.0,0.0,0.0,0.00024006140809890272,0.0,-0.00024006140809890272
immaculate,2.138888888888889,0.00019401040965182477,0.0,0.0,0.0,0.0,0.00019401040965182477,0.0,0.0,0.00019401040965182477,0.00019401040965182477
immature,1.4545454545454546,0.00016206168302041827,0.0,0.00016206168302041827,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016206168302041827
immediately,1.5161290322580645,0.00015895038294076833,0.0,0.00015895038294076833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
immerse,1.0,7.72390321898854e-05,0.0,7.72390321898854e-05,0.0,7.72390321898854e-05,7.72390321898854e-05,0.0,7.72390321898854e-05,7.72390321898854e-05,7.72390321898854e-05
imminent,1.1428571428571428,0.00015213234961118432,0.0,0.00015213234961118432,0.0,0.00015213234961118432,0.0,0.0,0.0,0.0,0.0
immoral,1.0,0.00010617186063685784,0.00010617186063685784,0.0,0.00010617186063685784,0.00010617186063685784,0.0,0.00010617186063685784,0.0,0.0,-0.00010617186063685784
immorality,1.0,0.0003757129669242759,0.0003757129669242759,0.0,0.0003757129669242759,0.0,0.0,0.0,0.0,0.0,-0.0003757129669242759
impartial,1.5,0.00028949313178222146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028949313178222146,0.00028949313178222146
impatient,1.8333333333333333,0.00016644196961810385,0.0,0.00016644196961810385,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016644196961810385
impeach,1.2727272727272727,0.00021025707126892145,0.0,0.0,0.00021025707126892145,0.00021025707126892145,0.0,0.0,0.0,0.0,-0.00021025707126892145
impeccable,1.9259259259259258,0.00014016880763511035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014016880763511035,0.00014016880763511035
impending,1.5,0.0003591842783021225,0.0,0.0003591842783021225,0.0,0.0003591842783021225,0.0,0.0,0.0,0.0,0.0
importance,1.1111111111111112,0.00021813171723109249,0.0,0.00021813171723109249,0.0,0.0,0.0,0.0,0.0,0.0,0.00021813171723109249
important,4.726190476190476,0.0002820959862254235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002820959862254235,0.0002820959862254235
impossible,3.1538461538461537,0.00022026176264351434,0.0,0.0,0.0,0.0,0.0,0.00022026176264351434,0.0,0.0,-0.00022026176264351434
imprisoned,1.0,8.699821637735277e-05,8.699821637735277e-05,0.0,8.699821637735277e-05,8.699821637735277e-05,0.0,8.699821637735277e-05,0.0,0.0,-8.699821637735277e-05
imprisonment,1.4285714285714286,0.0001616733173542197,0.0001616733173542197,0.0,0.0001616733173542197,0.0001616733173542197,0.0,0.0001616733173542197,0.0,0.0,-0.0001616733173542197
improve,1.52,0.00016419042376657469,0.0,0.00016419042376657469,0.0,0.0,0.00016419042376657469,0.0,0.0,0.00016419042376657469,0.00016419042376657469
improvement,1.3529411764705883,0.00011558781736686407,0.0,0.0,0.0,0.0,0.00011558781736686407,0.0,0.0,0.00011558781736686407,0.00011558781736686407
improvise,1.5555555555555556,0.00015496814397907428,0.0,0.00015496814397907428,0.0,0.0,0.0,0.0,0.00015496814397907428,0.0,0.00015496814397907428
impure,1.0,0.00019888748144692605,0.0,0.0,0.00019888748144692605,0.0,0.0,0.0,0.0,0.0,-0.00019888748144692605
impurity,1.0,6.306385436256552e-05,0.0,0.0,6.306385436256552e-05,0.0,0.0,0.0,0.0,0.0,-6.306385436256552e-05
inability,1.5,0.000233876083969083,0.0,0.0,0.0,0.0,0.0,0.000233876083969083,0.0,0.0,-0.000233876083969083
inadequate,1.4285714285714286,0.0002615109871448002,0.0,0.0,0.0,0.0,0.0,0.0002615109871448002,0.0,0.0,-0.0002615109871448002
inadmissible,1.0,0.00018555323229466699,0.00018555323229466699,0.0,0.00018555323229466699,0.0,0.0,0.0,0.0,0.0,-0.00018555323229466699
inappropriate,1.2,0.000162643083328086,0.000162643083328086,0.0,0.000162643083328086,0.0,0.0,0.000162643083328086,0.0,0.0,-0.000162643083328086
inauguration,1.5,0.0002249190118643737,0.0,0.0002249190118643737,0.0,0.0,0.0002249190118643737,0.0,0.0,0.0002249190118643737,0.0002249190118643737
incarceration,1.45,0.00014049749939521367,0.00014049749939521367,0.0,0.00014049749939521367,0.00014049749939521367,0.0,0.00014049749939521367,0.0,0.0,-0.00014049749939521367
incase,1.1666666666666667,0.000162582119295564,0.000162582119295564,0.0,0.000162582119295564,0.000162582119295564,0.0,0.000162582119295564,0.0,0.0,-0.000162582119295564
incense,1.8214285714285714,0.00017775521769983354,0.00017775521769983354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017775521769983354
incest,1.0,9.985278705093651e-05,9.985278705093651e-05,0.0,9.985278705093651e-05,9.985278705093651e-05,0.0,9.985278705093651e-05,0.0,0.0,-9.985278705093651e-05
incite,1.875,0.00016882891519329256,0.00016882891519329256,0.00016882891519329256,0.0,0.00016882891519329256,0.0,0.0,0.0,0.0,-0.00016882891519329256
income,1.5476190476190477,0.00015391792171195865,0.0,0.00015391792171195865,0.0,0.0,0.00015391792171195865,0.00015391792171195865,0.0,0.00015391792171195865,0.0
incompatible,1.3333333333333333,0.0001467335279330412,0.0001467335279330412,0.0,0.0001467335279330412,0.0,0.0,0.0001467335279330412,0.0,0.0,-0.0001467335279330412
incompetent,1.0,0.0001350602385791611,0.0001350602385791611,0.0,0.0,0.0,0.0,0.0001350602385791611,0.0,0.0,-0.0001350602385791611
inconsiderate,1.0,0.00010381808173250142,0.00010381808173250142,0.0,0.00010381808173250142,0.0,0.0,0.00010381808173250142,0.0,0.0,-0.00010381808173250142
inconvenient,1.0,7.792920071909626e-05,7.792920071909626e-05,0.0,7.792920071909626e-05,0.0,0.0,7.792920071909626e-05,0.0,0.0,-7.792920071909626e-05
incurable,1.0,0.0001626161803979867,0.0001626161803979867,0.0,0.0001626161803979867,0.0001626161803979867,0.0,0.0001626161803979867,0.0,0.0,-0.0001626161803979867
indecent,1.2727272727272727,0.0001597120162625125,0.0,0.0,0.0001597120162625125,0.0,0.0,0.0,0.0,0.0,-0.0001597120162625125
